distribution,training_iqr_scaled_euclidean_distance
posterior_predictive,2.579791470833815
posterior_predictive,2.8378685875970104
posterior_predictive,3.165891052346722
posterior_predictive,1.3903603625390568
posterior_predictive,1.4965781710645507
posterior_predictive,3.9421985031690934
posterior_predictive,2.609980641104637
posterior_predictive,4.284213887949687
posterior_predictive,1.5271595409695193
posterior_predictive,3.0687813341312045
posterior_predictive,3.628609399233911
posterior_predictive,1.443514431069184
posterior_predictive,3.8098455680223364
posterior_predictive,3.1217546652627126
posterior_predictive,2.666059319273191
posterior_predictive,2.1009517978694014
posterior_predictive,3.4355269978545033
posterior_predictive,3.325654722982488
posterior_predictive,2.714493760518104
posterior_predictive,2.873155202452893
posterior_predictive,3.0937034138868613
posterior_predictive,3.2996718780608165
posterior_predictive,0.9659486721978908
posterior_predictive,1.1413321630667905
posterior_predictive,2.752365027685955
posterior_predictive,4.216706290039659
posterior_predictive,2.591089599801554
posterior_predictive,2.1582734772732866
posterior_predictive,3.0213159938846665
posterior_predictive,2.2993336228042525
posterior_predictive,2.632155103674067
posterior_predictive,3.903242838055263
posterior_predictive,1.541364986474211
posterior_predictive,1.3929448131549735
posterior_predictive,2.9134819838384876
posterior_predictive,2.9607557848124575
posterior_predictive,3.2271534921289
posterior_predictive,3.1176289934818975
posterior_predictive,2.442669007332005
posterior_predictive,3.1624210238660657
posterior_predictive,2.321678622120777
posterior_predictive,1.3239925919461473
posterior_predictive,3.4358406319319097
posterior_predictive,2.864225688202791
posterior_predictive,3.5454935255205973
posterior_predictive,1.0467625275182473
posterior_predictive,0.750357207588465
posterior_predictive,2.9813781740363425
posterior_predictive,3.189470111358103
posterior_predictive,4.1874992802558895
posterior_predictive,4.211958093326096
posterior_predictive,3.1301202699352095
posterior_predictive,3.1764902950261016
posterior_predictive,1.495498510857838
posterior_predictive,3.668519424555956
posterior_predictive,2.3657995457751366
posterior_predictive,3.19542214111386
posterior_predictive,3.359105471440054
posterior_predictive,1.6303571648581383
posterior_predictive,3.337723420978415
posterior_predictive,3.1189033811606546
posterior_predictive,1.6673924097368087
posterior_predictive,3.236509707296551
posterior_predictive,7.194734180488437
posterior_predictive,3.3697444563673375
posterior_predictive,1.9168932526977405
posterior_predictive,3.2228603679091754
posterior_predictive,1.4605540915290571
posterior_predictive,3.8054004015869185
posterior_predictive,3.1033369898585805
posterior_predictive,2.2743941403139782
posterior_predictive,1.2527822396146815
posterior_predictive,2.7209270373108434
posterior_predictive,1.016693880128167
posterior_predictive,3.3745420564792936
posterior_predictive,1.3029366363464088
posterior_predictive,2.4680038995158857
posterior_predictive,2.733314737648828
posterior_predictive,3.1904783558645584
posterior_predictive,3.8839527683640194
posterior_predictive,2.0826338689524873
posterior_predictive,3.236877211007396
posterior_predictive,4.27190929963827
posterior_predictive,3.365080827302815
posterior_predictive,3.8477031768725927
posterior_predictive,3.5451392127533934
posterior_predictive,1.0497118969159562
posterior_predictive,3.3331826593647254
posterior_predictive,1.3187902190094563
posterior_predictive,3.3595094877033844
posterior_predictive,2.5361028854616827
posterior_predictive,0.9254779472837937
posterior_predictive,3.4515361710256496
posterior_predictive,2.135330251953279
posterior_predictive,3.590736616575132
posterior_predictive,2.7299492398650256
posterior_predictive,3.1587486227215784
posterior_predictive,1.8355870649574442
posterior_predictive,2.9090116677272735
posterior_predictive,2.246351190741926
posterior_predictive,1.8265716405141
posterior_predictive,3.39820215442113
posterior_predictive,2.505271262843844
posterior_predictive,2.564616542741582
posterior_predictive,3.7733464808853943
posterior_predictive,3.370316760561113
posterior_predictive,2.2451693934600563
