sample_id_a,sample_id_b,theta_rms_distance,x_distance,x_to_noise_ratio,delta_mue_prior_width,delta_mui_prior_width,delta_b_prior_width,delta_tauA_prior_width,delta_g_LK_prior_width,delta_g_h_prior_width,delta_c_th2ctx_prior_width,delta_c_ctx2th_prior_width
1565,2003,0.3467242153961265,0.43576012521770685,0.18906442488048533,0.15105820912867757,0.10024689603596919,-0.060772146098315716,0.16052519343793403,-0.7805209588259457,0.20814402494579531,-0.26290044095367193,0.4216139158234
708,1954,0.3792775175232785,0.43589376547885805,0.1891224077422784,-0.3219521669670937,-0.09239834919571888,0.1718732714653013,-0.6541670663282274,0.1774267163127663,0.6969600012525916,0.09370257519185543,-0.234802474267781
98,425,0.3402333915984113,0.4364349248567507,0.18935720202617215,-0.22153606545180082,0.017415312118828186,-0.017573089338838832,-0.07090003322809946,0.2211123276501894,0.45087139680981636,0.4360841978341341,0.6549868937581778
296,1234,0.2860261593984826,0.43817676827512436,0.19011294034427126,-0.26129392068833107,-0.0014040376991032444,0.0820221938192845,-0.35641424451023357,0.1531855259090662,-0.11828854773193592,0.2798400707542896,0.5802447944879531
538,1806,0.2585508870449518,0.4387066068780873,0.19034282285290746,-0.18162078596651587,0.019587445072830167,-0.024857064709067345,-0.22531151119619586,0.4467393411323429,0.059028914198279436,0.44580436032265425,0.21962145064026117
116,1464,0.4110837178805204,0.4389067928223355,0.19042967807032676,0.20386301353573835,0.06868141982704412,-0.05332581792026764,0.3831053273752333,-0.5014061322435738,0.29696080461144436,-0.004901194013655186,-0.9035541675984861
286,1571,0.4813936120021008,0.43905296242860004,0.19049309707299386,0.5768792424350975,0.17689910624176258,-0.11425204481929563,0.7202078728005292,-0.17040486074984085,0.7549544265493751,0.1036625150591135,0.5902056368067863
538,706,0.3919054945372428,0.4395558179942642,0.19071127237820967,0.11452363617718164,-0.0505892112851144,-0.08307197038084235,0.15776316449046146,0.9442342184484006,-0.23788611404597768,0.46628521010279655,0.12515699584037077
254,982,0.3366023260024759,0.4404987569442361,0.19112038785242794,0.16916642338037446,-0.06536609027534757,-0.05410363804549001,0.35997360199689876,0.016522872261702903,0.05402496736496665,0.22570330090820778,-0.8287805030122399
51,153,0.3500337950939213,0.44138683886502916,0.19150570235892989,-0.37003855127841206,0.0058198040351273295,0.22889653127640452,-0.530094476416707,0.4573858743533491,0.4430003790184855,0.1337380176410079,0.29410211648792034
1022,1890,0.3578671377754589,0.44286461690080764,0.19214686991480914,0.38983859308063995,-0.0855130134150387,0.08402455225586924,0.2912417137995361,-0.5539028318598866,-0.5627140896394849,-0.30778900999575853,-0.23493205942213558
544,1152,0.3147769655595247,0.44291647015143853,0.1921693676249973,-0.031332056969404436,0.1443299092352388,-0.13099318835884333,0.0966763785108925,-0.155218282714486,0.055118066258728615,0.2974894298240543,0.7929232427850366
1101,1441,0.3574696463457568,0.4435038550884517,0.19242421791733275,-0.3828816469758749,0.10557453054934712,0.3526933537796143,-0.7023915750905873,0.3604120174422861,0.07906322088092566,0.260930503718555,0.20628373138606548
1614,1782,0.3751302122244903,0.4438945435033668,0.19259372695728103,0.15254256874322913,-0.10863665770739317,-0.0989619446918365,0.2791486782953144,0.05893354583531629,-0.6457411302253603,0.6756642535328865,-0.3549871062859893
