mue,mui,b,tauA,g_LK,g_h,c_th2ctx,c_ctx2th,old_score,old_feasible,new_score,new_feasible,n_passed_new,old_T1_min_rE,old_T2_max_rE,old_T3_longest_ms,old_T4_freq,old_T4_q,old_T5_fwhm,old_T6_ibi_cv,old_T6_n_bursts,old_T7_sp_cv,old_T8_n_sp_events,old_T8_mean_sp_dur,old_T9_mi,old_T10_phase,old_T10_dist_to_target,old_T11_lag_ms,old_T12_n_verified,T9_new,T9_mi,T10a_new,T10a_phase_argmax_deg,T10b_new,T10b_concentration,T11_new,T11_up_down_ratio,pac_bimodal,pac_ok,pac_n_so_cycles,shape_r,T4_q,T12_n_verified
3.8552361100307047,2.953536109275974,33.78301379372626,1751.040302392204,0.0481543469976022,0.0700784295042047,0.0150886493657768,0.104437421813683,0.66233,True,-10.0,0,9,6.833475887198808e-10,58.25796287423042,189.0,0.75,3.56,0.75,0.572,59,0.834,28,0.481,0.00179,-3.133,0.009,2000.0,28,False,0.0011322251158730383,True,10.000000000000002,False,0.03445969456472469,True,1.3320457318005112,False,True,42,0.513661,3.56,28
3.4383175358321125,2.896317624200289,40.77592806460987,1633.1143580608227,0.0476043362354265,0.0648492491123223,0.0246938210852422,0.0664194146202508,0.661524,True,-10.0,0,10,2.7164218345196635e-10,58.8856160681298,160.0,0.75,2.182,0.0,0.529,55,0.783,27,0.469,0.03235,0.687,0.687,-1277.0,27,True,0.041318599567643555,True,10.000000000000002,True,0.3370235112453718,True,2.650294257557398,False,True,40,0.649422,2.182,27
4.003499137550858,3.035464213577716,35.78574982472198,1702.1079426322194,0.0501649341050338,0.066465094844134,0.0073568154590394,0.1294236575148043,0.661032,True,-10.0,0,9,6.404046714167488e-11,63.583468195455154,200.0,0.75,3.586,1.5,0.383,51,1.073,24,0.513,0.00321,2.91,0.232,-1175.0,23,False,0.0018134127288993765,False,-130.0,False,0.025568032187328383,False,1.1586541944677775,True,True,42,0.494439,3.586,23
3.982133642741058,3.150281699382133,34.269575359481024,1798.254741763887,0.0578201384009737,0.0713699750240166,0.0130411301581201,0.186591277284453,0.660548,True,-10.0,0,11,8.28984503595272e-11,65.07743791034112,201.0,0.75,3.649,0.75,0.48,51,1.07,17,0.809,0.00654,-2.947,0.194,1373.0,16,True,0.005434342866674975,True,10.000000000000002,True,0.08508493300003854,True,1.4672881648681442,False,True,38,0.543138,3.649,16
3.8988617693030343,2.9273369465235493,35.12274400569324,1593.6119308606728,0.0556776715723518,0.0696089966147991,0.0061205290411568,0.0662314437866312,0.657359,True,-10.0,0,9,3.9458350189670384e-11,62.50506105345884,208.0,0.75,3.722,1.0,0.497,56,1.321,19,0.69,0.00403,-3.006,0.136,-1375.0,12,False,0.003057796593790993,True,-10.000000000000002,False,0.047187996012179254,True,1.3097126539031776,False,True,41,0.468719,3.722,12
3.9345529409949447,3.183244336434233,36.08287772352486,1777.1301509482803,0.0502383475182772,0.0678260372564957,0.0161267675320652,0.1412403087381441,0.657063,True,-10.0,0,9,1.4407405061824426e-11,62.58117858658206,195.0,0.75,2.93,1.25,0.421,50,1.1,23,0.546,0.0138,2.606,0.536,1915.0,23,True,0.013871815294439292,False,149.99999999999997,True,0.14624990153445955,False,1.1390964380304287,True,True,41,0.532001,2.93,23
3.834486596162937,3.0807299311246648,35.95343040044475,1788.572261188996,0.0539733628000627,0.0686517453888062,0.0159328339170475,0.1030521874168558,0.655832,True,-10.0,0,10,1.0723692847292129e-10,62.45338924553689,186.0,0.75,2.711,2.0,0.457,50,1.353,26,0.529,0.01173,-3.007,0.135,832.0,16,True,0.005910500604941175,True,10.000000000000002,False,0.07109358597433317,True,1.404655554611488,True,True,39,0.566289,2.711,16
3.706071263056406,3.1513088646334992,32.69849036759548,1625.245078437395,0.0485357298721761,0.0627608795150433,0.0144424841312559,0.1304550543449071,0.653118,True,0.657368,1,12,1.5405126869321353e-10,60.6702581047461,215.0,0.75,3.146,0.5,0.324,47,0.746,23,0.53,0.00948,-2.534,0.608,-76.0,23,True,0.005922578619601357,True,-10.000000000000002,True,0.1024703184290696,True,1.5479672243888343,False,True,40,0.546486,3.146,23
3.991257650627725,3.4313734273159024,34.69803656267907,1754.6836837947526,0.053255628868985,0.0704753876871964,0.0058536439776962,0.1196405457369341,0.652959,True,-10.0,0,9,1.181209347649086e-12,65.52763941081737,229.0,0.75,3.107,1.5,0.418,45,1.272,24,0.573,0.00718,-2.935,0.207,-92.0,16,True,0.007397112564054678,True,10.000000000000002,False,0.05383017984550843,False,1.1905541645965316,True,True,36,0.536168,3.107,16
4.026219785294351,2.976288885835971,37.092042968628334,1848.7292582846585,0.0541344966855971,0.0699951119677161,0.0114533343276628,0.1413937191656855,0.651767,True,-10.0,0,9,1.9849664524878484e-10,62.00546621562124,190.0,0.75,3.671,1.0,0.391,51,1.297,23,0.598,0.00451,2.942,0.2,740.0,18,False,0.002975234363417471,False,149.99999999999997,False,0.04349393134819428,False,1.1036332815298362,True,True,42,0.507409,3.671,18
