track,member_key,parameter,strategy,metric,delta_vs_clipped,tolerance,exceeds_tolerance
8d,member_4,mui,raw_preclip,bias_unit,0.0,0.02,False
8d,member_4,mui,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_4,mui,rejection_in_support,pit_ecdf_ks,-0.022904483430799205,0.05,False
8d,member_4,mui,rejection_in_support,central_cov_90,0.0,0.03,False
8d,member_4,mui,rejection_in_support,rank_mean,0.005929174788823932,0.03,False
8d,member_4,mui,rejection_in_support,bias_unit,-5.75212761759758e-05,0.02,False
8d,member_4,mui,rejection_in_support,boundary_point_mass,-0.006266276041666667,0.02,False
8d,member_4,b,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_4,b,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_4,b,raw_preclip,rank_mean,0.0,0.03,False
8d,member_4,b,raw_preclip,bias_unit,0.0,0.02,False
8d,member_4,b,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_4,b,rejection_in_support,pit_ecdf_ks,-0.01644736842105271,0.05,False
8d,member_4,b,rejection_in_support,central_cov_90,-0.02083333333333337,0.03,False
8d,member_4,b,rejection_in_support,rank_mean,0.007878492527615355,0.03,False
8d,member_4,b,rejection_in_support,bias_unit,-0.004604612632344168,0.02,False
8d,member_4,b,rejection_in_support,boundary_point_mass,-0.055257161458333336,0.02,True
8d,member_4,tauA,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_4,tauA,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_4,tauA,raw_preclip,rank_mean,0.0,0.03,False
8d,member_4,tauA,raw_preclip,bias_unit,0.0,0.02,False
8d,member_4,tauA,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_4,tauA,rejection_in_support,pit_ecdf_ks,0.0728557504873294,0.05,True
8d,member_4,tauA,rejection_in_support,central_cov_90,-0.0625,0.03,True
8d,member_4,tauA,rejection_in_support,rank_mean,0.025747238466536704,0.03,False
8d,member_4,tauA,rejection_in_support,bias_unit,-0.012150643859058612,0.02,False
8d,member_4,tauA,rejection_in_support,boundary_point_mass,-0.0821533203125,0.02,True
8d,member_4,g_LK,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_4,g_LK,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_4,g_LK,raw_preclip,rank_mean,0.0,0.03,False
8d,member_4,g_LK,raw_preclip,bias_unit,0.0,0.02,False
8d,member_4,g_LK,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_4,g_LK,rejection_in_support,pit_ecdf_ks,-0.005360623781676455,0.05,False
8d,member_4,g_LK,rejection_in_support,central_cov_90,-0.08333333333333337,0.03,True
8d,member_4,g_LK,rejection_in_support,rank_mean,0.016000649772579645,0.03,False
8d,member_4,g_LK,rejection_in_support,bias_unit,-0.004812394889692465,0.02,False
8d,member_4,g_LK,rejection_in_support,boundary_point_mass,-0.041951497395833336,0.02,True
8d,member_4,g_h,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_4,g_h,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_4,g_h,raw_preclip,rank_mean,0.0,0.03,False
8d,member_4,g_h,raw_preclip,bias_unit,0.0,0.02,False
8d,member_4,g_h,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_4,g_h,rejection_in_support,pit_ecdf_ks,-0.00852826510721244,0.05,False
8d,member_4,g_h,rejection_in_support,central_cov_90,-0.08333333333333337,0.03,True
8d,member_4,g_h,rejection_in_support,rank_mean,0.011736517218973286,0.03,False
8d,member_4,g_h,rejection_in_support,bias_unit,-0.002502982194224993,0.02,False
8d,member_4,g_h,rejection_in_support,boundary_point_mass,-0.03413899739583333,0.02,True
8d,member_4,c_th2ctx,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_4,c_th2ctx,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_4,c_th2ctx,raw_preclip,rank_mean,0.0,0.03,False
8d,member_4,c_th2ctx,raw_preclip,bias_unit,0.0,0.02,False
8d,member_4,c_th2ctx,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_4,c_th2ctx,rejection_in_support,pit_ecdf_ks,0.024000974658869356,0.05,False
8d,member_4,c_th2ctx,rejection_in_support,central_cov_90,-0.08333333333333326,0.03,True
8d,member_4,c_th2ctx,rejection_in_support,rank_mean,0.01709714100064974,0.03,False
8d,member_4,c_th2ctx,rejection_in_support,bias_unit,-0.004737447947263711,0.02,False
8d,member_4,c_th2ctx,rejection_in_support,boundary_point_mass,-0.034138997395833336,0.02,True
8d,member_4,c_ctx2th,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_4,c_ctx2th,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_4,c_ctx2th,raw_preclip,rank_mean,0.0,0.03,False
8d,member_4,c_ctx2th,raw_preclip,bias_unit,0.0,0.02,False
8d,member_4,c_ctx2th,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_4,c_ctx2th,rejection_in_support,pit_ecdf_ks,0.012548732943469754,0.05,False
8d,member_4,c_ctx2th,rejection_in_support,central_cov_90,0.0,0.03,False
8d,member_4,c_ctx2th,rejection_in_support,rank_mean,0.00012183235867441189,0.03,False
8d,member_4,c_ctx2th,rejection_in_support,bias_unit,-0.004799561885495979,0.02,False
8d,member_4,c_ctx2th,rejection_in_support,boundary_point_mass,-0.0224609375,0.02,True
8d,member_5,mue,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_5,mue,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_5,mue,raw_preclip,rank_mean,0.0,0.03,False
8d,member_5,mue,raw_preclip,bias_unit,0.0,0.02,False
8d,member_5,mue,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_5,mue,rejection_in_support,pit_ecdf_ks,0.07748538011695905,0.05,True
8d,member_5,mue,rejection_in_support,central_cov_90,-0.04166666666666674,0.03,True
8d,member_5,mue,rejection_in_support,rank_mean,0.026559454191033116,0.03,False
8d,member_5,mue,rejection_in_support,bias_unit,-0.012363757782926161,0.02,False
8d,member_5,mue,rejection_in_support,boundary_point_mass,-0.08015950520833333,0.02,True
8d,member_5,mui,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_5,mui,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_5,mui,raw_preclip,rank_mean,0.0,0.03,False
8d,member_5,mui,raw_preclip,bias_unit,0.0,0.02,False
8d,member_5,mui,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_5,mui,rejection_in_support,pit_ecdf_ks,0.003898635477582846,0.05,False
8d,member_5,mui,rejection_in_support,central_cov_90,0.0,0.03,False
8d,member_5,mui,rejection_in_support,rank_mean,-0.003979857050032509,0.03,False
8d,member_5,mui,rejection_in_support,bias_unit,-0.0001289640398075189,0.02,False
8d,member_5,mui,rejection_in_support,boundary_point_mass,-0.005818684895833333,0.02,False
8d,member_5,b,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_5,b,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_5,b,raw_preclip,rank_mean,0.0,0.03,False
8d,member_5,b,raw_preclip,bias_unit,0.0,0.02,False
8d,member_5,b,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_5,b,rejection_in_support,pit_ecdf_ks,0.0004873294346978141,0.05,False
8d,member_5,b,rejection_in_support,central_cov_90,-0.02083333333333337,0.03,False
8d,member_5,b,rejection_in_support,rank_mean,0.004548408057179987,0.03,False
8d,member_5,b,rejection_in_support,bias_unit,-0.0034692455471182874,0.02,False
8d,member_5,b,rejection_in_support,boundary_point_mass,-0.056070963541666664,0.02,True
