track,n_train,estimator,parameter,n_cases,n_posterior_samples_per_case,rank_mean,rank_var,tail_low_005,tail_high_095,pit_ecdf_ks,pit_ecdf_ks_pvalue,central_cov_50,central_cov_80,central_cov_90,central_cov_95,bias_unit,mae_unit,mean_posterior_std,is_focus,framing,ranks_npz_sha256
8d,32768,member_2,c_th2ctx,1024,1000,0.466819313499001,0.09498903365244535,0.0859375,0.0556640625,0.07869474275724275,5.802939211450258e-06,0.439453125,0.7275390625,0.8583984375,0.91796875,-0.021816664324433077,0.1549611008958891,0.17986190763986087,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_2,c_ctx2th,1024,1000,0.49657568993506496,0.0848923031820207,0.0556640625,0.05078125,0.015028916396103875,0.972199370240513,0.501953125,0.7880859375,0.8935546875,0.9462890625,0.004519019361396204,0.25053970838598616,0.28593770651787054,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_3,mue,1024,1000,0.5127236045204795,0.0980588329639915,0.078125,0.0859375,0.05363971965534464,0.005312570930341263,0.4462890625,0.7158203125,0.8359375,0.908203125,-0.007780678153721965,0.14629571464502078,0.15156429246417247,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_3,mui,1024,1000,0.6544002872127872,0.04805282863350163,0.0087890625,0.046875,0.283596286525974,2.301461173571775e-73,0.546875,0.8720703125,0.9443359375,0.98046875,-0.0031546209497719246,0.005638827491111442,0.010799054411791076,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_3,b,1024,1000,0.5217243693806193,0.08498072188867281,0.0458984375,0.0625,0.04340776411088909,0.0409458939316617,0.48828125,0.7763671875,0.8916015625,0.9296875,-0.0109478577360278,0.08218329065130092,0.10474577749482705,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_3,tauA,1024,1000,0.5201078218656343,0.098033317483437,0.07421875,0.09375,0.06832230269730266,0.0001336534934018693,0.431640625,0.7275390625,0.83203125,0.900390625,-0.005750839616666781,0.1867957034301071,0.1942215531889815,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_3,g_LK,1024,1000,0.4979259022227772,0.0893305341159883,0.0595703125,0.072265625,0.0318997408841159,0.24317502774166322,0.4775390625,0.775390625,0.8681640625,0.92578125,0.025253471854739473,0.14881168097963382,0.16884104632845265,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_3,g_h,1024,1000,0.5140591830044955,0.0884506032137766,0.060546875,0.0634765625,0.03500015609390611,0.15887270941056242,0.4755859375,0.763671875,0.8759765625,0.9296875,0.013095636235448183,0.14110877109669673,0.1751543535701785,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_3,c_th2ctx,1024,1000,0.4985571069555445,0.09462595046934588,0.0654296875,0.072265625,0.0403600305944056,0.06922813103226644,0.451171875,0.7265625,0.8623046875,0.919921875,-0.04303679607619415,0.15489950310075074,0.17336549910760368,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_3,c_ctx2th,1024,1000,0.49499328796203795,0.08415735271041803,0.0517578125,0.0517578125,0.01797226211288716,0.8893480550148171,0.494140625,0.7958984375,0.896484375,0.9453125,0.006150578699816833,0.25144830994941003,0.2877576239989139,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_4,mue,1024,1000,0.5315212131618382,0.10492650848110775,0.083984375,0.1015625,0.09519484421828173,1.5802545252922986e-08,0.40625,0.6845703125,0.814453125,0.890625,-0.025384122014656896,0.1487406009764527,0.14428572343786072,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
