track,member_key,parameter,mean_z,var_z,n_cases,mean_cond,chol_failures,cov_z_frobenius_to_I
8d,member_4,c_ctx2th,-0.013237686208606367,0.9407561302850075,48,129.87716607258196,0,1.5749596266382389
8d,member_5,mue,0.12415751743010961,0.7861937127840574,48,182.0970674679437,0,1.4600893817744371
8d,member_5,mui,-0.2912379544409314,0.2469914647465491,48,182.0970674679437,0,1.4600893817744371
8d,member_5,b,-0.11314919805971631,0.8517229118941138,48,182.0970674679437,0,1.4600893817744371
8d,member_5,tauA,0.2592963525805038,0.33494278051706644,48,182.0970674679437,0,1.4600893817744371
8d,member_5,g_LK,0.12883596585746285,0.6448824355983134,48,182.0970674679437,0,1.4600893817744371
8d,member_5,g_h,0.038012371739343874,1.2568131046592004,48,182.0970674679437,0,1.4600893817744371
8d,member_5,c_th2ctx,-0.06055829344711527,0.943996459651609,48,182.0970674679437,0,1.4600893817744371
8d,member_5,c_ctx2th,-0.006887687871148411,0.9182832828043019,48,182.0970674679437,0,1.4600893817744371
8d,ensemble,mue,0.12159131804372915,0.8153362983720711,48,187.4545621080822,0,1.5771261960055203
8d,ensemble,mui,0.049427709951583486,0.05687488965872569,48,187.4545621080822,0,1.5771261960055203
8d,ensemble,b,-0.13049697767817559,0.8264885292196633,48,187.4545621080822,0,1.5771261960055203
8d,ensemble,tauA,0.24705800829502952,0.3462426078214523,48,187.4545621080822,0,1.5771261960055203
8d,ensemble,g_LK,0.15366023949210045,0.5842312798461274,48,187.4545621080822,0,1.5771261960055203
8d,ensemble,g_h,0.08279105011170755,1.1937902466868002,48,187.4545621080822,0,1.5771261960055203
8d,ensemble,c_th2ctx,-0.020440692999477917,0.7211010775055708,48,187.4545621080822,0,1.5771261960055203
8d,ensemble,c_ctx2th,0.0014531756032825822,0.8936450315178425,48,187.4545621080822,0,1.5771261960055203
7d,member_1,mue,0.1447476532877091,0.8812712950470787,48,290.47715914185375,0,1.5183059095066587
7d,member_1,mui,0.05120630709308141,0.06999301072964824,48,290.47715914185375,0,1.5183059095066587
