track,member_key,strategy,parameter,n_cases,rank_mean,pit_ecdf_ks,central_cov_90,central_cov_95,bias_unit,mean_lower_leak,mean_upper_leak,boundary_point_mass,mean_accept_rate
8d,member_5,clipped,g_h,48,0.5443875893437298,0.14498050682261215,0.875,0.9375,0.011609113755791137,0.010782877604166666,0.018107096354166668,0.0289306640625,1.0
8d,member_5,clipped,c_th2ctx,48,0.5373213125406108,0.18884015594541909,0.8958333333333334,1.0,-0.07155331092265745,0.011311848958333334,0.021240234375,0.032552083333333336,1.0
8d,member_5,clipped,c_ctx2th,48,0.5017868745938922,0.08077485380116961,0.9375,0.9583333333333334,-0.003778753763375183,0.009236653645833334,0.013875325520833334,0.023111979166666668,1.0
8d,member_5,rejection_in_support,mue,48,0.5634340480831709,0.18372319688109162,0.9166666666666666,0.9375,-0.04283276910427958,0.035888671875,0.044352213541666664,0.0001220703125,0.7152099609375
8d,member_5,rejection_in_support,mui,48,0.2601120857699805,0.4282407407407407,0.9166666666666666,0.9583333333333334,0.007760934648104012,0.0027669270833333335,0.0030517578125,0.0,0.7152099609375
8d,member_5,rejection_in_support,b,48,0.4537849252761534,0.16593567251461988,0.8541666666666666,0.9583333333333334,0.02117154615310331,0.0194091796875,0.036661783854166664,0.0,0.7152099609375
8d,member_5,rejection_in_support,tauA,48,0.5799220272904483,0.15655458089668617,0.875,0.8958333333333334,-0.062376111978664994,0.017862955729166668,0.049845377604166664,0.0,0.7152099609375
8d,member_5,rejection_in_support,g_LK,48,0.5547433398310592,0.17921539961013647,0.8958333333333334,0.9583333333333334,0.011457762137676278,0.036946614583333336,0.025146484375,0.0,0.7152099609375
8d,member_5,rejection_in_support,g_h,48,0.5525503573749188,0.16581384015594547,0.8125,0.9375,0.007193242801198115,0.010782877604166666,0.018107096354166668,0.0,0.7152099609375
8d,member_5,rejection_in_support,c_th2ctx,48,0.54320987654321,0.19005847953216376,0.8541666666666666,0.8958333333333334,-0.07287506021869679,0.011311848958333334,0.021240234375,0.0,0.7152099609375
8d,member_5,rejection_in_support,c_ctx2th,48,0.5053606237816765,0.07163742690058479,0.8958333333333334,0.9375,-0.008293500441747407,0.009236653645833334,0.013875325520833334,0.0,0.7152099609375
