center,scale,parameter,seed_a,seed_b,direction_cosine
v8a_local_best,0.02,tauA,2207,3301,0.14364080397506265
v8a_local_best,0.02,g_LK,1103,2207,0.941949323114806
v8a_local_best,0.02,g_LK,1103,3301,0.814592350073732
v8a_local_best,0.02,g_LK,2207,3301,0.7695632638822927
v8a_local_best,0.02,g_h,1103,2207,0.35220797643123425
v8a_local_best,0.02,g_h,1103,3301,0.28283146893916106
v8a_local_best,0.02,g_h,2207,3301,0.2343469362107766
v8a_local_best,0.02,c_th2ctx,1103,2207,-0.27786910301895934
v8a_local_best,0.02,c_th2ctx,1103,3301,0.0034267584468092574
v8a_local_best,0.02,c_th2ctx,2207,3301,-0.12979071941397324
v8a_local_best,0.02,c_ctx2th,1103,2207,0.675207286338501
v8a_local_best,0.02,c_ctx2th,1103,3301,-0.7561726119227614
v8a_local_best,0.02,c_ctx2th,2207,3301,-0.1938500268549357
v8a_local_best,0.05,mue,1103,2207,0.11231119380942992
v8a_local_best,0.05,mue,1103,3301,0.32855290622163325
v8a_local_best,0.05,mue,2207,3301,0.36616885918542935
v8a_local_best,0.05,mui,1103,2207,-0.10062860399430304
v8a_local_best,0.05,mui,1103,3301,-0.42924787377537926
v8a_local_best,0.05,mui,2207,3301,-0.19315968649359605
v8a_local_best,0.05,b,1103,2207,0.4046786276608277
v8a_local_best,0.05,b,1103,3301,0.7794922943784703
v8a_local_best,0.05,b,2207,3301,0.31444928864725324
v8a_local_best,0.05,tauA,1103,2207,0.7273580638274397
v8a_local_best,0.05,tauA,1103,3301,-0.28201977481291984
v8a_local_best,0.05,tauA,2207,3301,-0.17270999767737988
v8a_local_best,0.05,g_LK,1103,2207,0.9927549433609542
v8a_local_best,0.05,g_LK,1103,3301,0.9627351073637603
v8a_local_best,0.05,g_LK,2207,3301,0.9617312640514338
v8a_local_best,0.05,g_h,1103,2207,0.8183584311101422
v8a_local_best,0.05,g_h,1103,3301,0.7000682256224724
v8a_local_best,0.05,g_h,2207,3301,0.8986668252968208
v8a_local_best,0.05,c_th2ctx,1103,2207,0.7915253512069549
v8a_local_best,0.05,c_th2ctx,1103,3301,0.7640910983368818
v8a_local_best,0.05,c_th2ctx,2207,3301,0.48546346010326996
v8a_local_best,0.05,c_ctx2th,1103,2207,-0.4322389457903039
v8a_local_best,0.05,c_ctx2th,1103,3301,0.7690258247544066
v8a_local_best,0.05,c_ctx2th,2207,3301,-0.07733608434180554
