i,j,k,g_LK,g_h,c_ctx2th,sp_peak_power_log,sp_env_cv,n_events_raw,n_events_valid,n_events_verified,mean_event_dur,pac_mi,ctx_min,ctx_max,ctx_ibi_cv,ctx_n_bursts,ok,fail_reason
12,8,3,0.08857142857142858,0.06571428571428571,0.155,0.4516796590451122,0.5063055633826625,21,21,2,0.6196190476190476,0.0007110980232370708,3.622219002877306e-11,63.8010631939787,0.3278651618091495,50,True,
12,8,4,0.08857142857142858,0.06571428571428571,0.2,0.38856854901141147,0.515468597607356,14,14,5,0.8674285714285713,0.0007544454946148534,4.3896851189633976e-11,63.432040908092084,0.5541279315506178,61,True,
12,9,0,0.08857142857142858,0.07142857142857142,0.02,0.4711238237286417,0.5540536078336363,21,21,11,0.6215714285714287,0.0004300644746104576,3.7216614250875096e-11,64.0977464164712,0.3646583083791891,52,True,
12,9,1,0.08857142857142858,0.07142857142857142,0.065,0.4859593079374281,0.49555511413820097,22,22,5,0.5824090909090909,0.0005207866291167123,4.001717340773235e-11,64.21956720602023,0.45189788226734934,55,True,
12,9,2,0.08857142857142858,0.07142857142857142,0.11000000000000001,0.28756291688888047,0.5592707794743542,14,14,9,0.7051428571428572,0.000990080158218553,7.281699881311496e-12,64.00611825155173,0.5636288468773367,61,True,
12,9,3,0.08857142857142858,0.07142857142857142,0.155,0.41251685341822614,0.5096534781476212,21,21,8,0.6451904761904761,0.002538791567132642,3.651035036201804e-11,62.698870753772965,0.2297151768245052,47,True,
12,9,4,0.08857142857142858,0.07142857142857142,0.2,0.4344665077166721,0.5099465166753671,15,15,3,0.8595333333333333,0.0012365319835303198,3.763562135544235e-11,66.48922127226733,0.5006830126594601,58,True,
12,10,0,0.08857142857142858,0.07714285714285714,0.02,0.5480996415894995,0.5092913755298034,17,17,7,0.7193529411764706,0.0018451522264202418,4.2984334810968154e-11,64.40837898707167,0.5458831269208766,62,True,
12,10,1,0.08857142857142858,0.07714285714285714,0.065,0.4703404753296976,0.5610994098670269,18,18,11,0.5877777777777778,0.0010529955155590429,5.217462869331141e-11,65.26702833053315,0.43632558748999295,54,True,
12,10,2,0.08857142857142858,0.07714285714285714,0.11000000000000001,0.5221766280066295,0.537889545699388,16,16,8,0.647,0.002375082164204097,6.8868134483072e-11,63.7952205567493,0.4258052668092751,54,True,
12,10,3,0.08857142857142858,0.07714285714285714,0.155,0.5449743123452007,0.5137432224637665,18,18,8,0.6931111111111111,0.00025213798277975936,3.1569417770738816e-11,64.93268277330141,0.2267047613998862,47,True,
12,10,4,0.08857142857142858,0.07714285714285714,0.2,0.37154856350292187,0.5530147861156236,17,17,9,0.7180588235294117,0.0018887509208348732,1.9562985782200482e-11,63.88847824734234,0.4196024557044956,54,True,
12,11,0,0.08857142857142858,0.08285714285714287,0.02,0.5124601412863342,0.5408162233349159,17,17,9,0.7171176470588235,0.0009187361305827461,1.696393376027854e-11,63.83021442074771,0.46118787935194644,56,True,
12,11,1,0.08857142857142858,0.08285714285714287,0.065,0.5626561178294053,0.5122635241512301,18,18,12,0.7147777777777777,0.0008981321153398655,6.071035257219405e-11,64.79355265690896,0.6039048661423961,64,True,
12,11,2,0.08857142857142858,0.08285714285714287,0.11000000000000001,0.6524287851626879,0.49677217070413165,19,19,10,0.711,0.001214553473714823,2.1044645420656757e-11,64.34399722084893,0.48909134090023904,57,True,
12,11,3,0.08857142857142858,0.08285714285714287,0.155,0.5084719393554487,0.5035859712223046,18,18,9,0.746,0.00025826418945145487,2.994073089048119e-11,64.53040391459025,0.44739254351785485,55,True,
12,11,4,0.08857142857142858,0.08285714285714287,0.2,0.46604900108748265,0.5379667410160333,20,20,5,0.65115,0.0020264991211915,3.45885759988929e-11,65.51199099656688,0.45432823125018423,56,True,
12,12,0,0.08857142857142858,0.08857142857142858,0.02,0.4236173134542775,0.5324957792736081,17,17,8,0.7012352941176471,0.0006549088384439421,6.309282639993593e-11,66.38697474455523,0.3534414952277986,51,True,
12,12,1,0.08857142857142858,0.08857142857142858,0.065,0.48558194742687355,0.5583741124614177,15,15,9,0.7139333333333333,0.0017393059349029424,2.256502913802377e-11,65.00526744181526,0.45200957495400595,56,True,
12,12,2,0.08857142857142858,0.08857142857142858,0.11000000000000001,0.3970180594747091,0.5243126176933961,19,19,12,0.6582105263157895,0.0007450562324690809,1.0235634907102257e-10,63.894094019550735,0.3846335830227157,52,True,
12,12,3,0.08857142857142858,0.08857142857142858,0.155,0.47078365749202766,0.5326550162952148,17,17,12,0.7683529411764706,0.0004180871769692114,3.046709964311651e-11,65.91665119615799,0.5453445481847391,60,True,
12,12,4,0.08857142857142858,0.08857142857142858,0.2,0.4790458494587282,0.48803376622602335,18,18,9,0.7084444444444444,0.0010783125246433363,1.1146693837640913e-11,62.93883565238644,0.3957649525927875,53,True,
12,13,0,0.08857142857142858,0.09428571428571429,0.02,0.4286245274277315,0.5332766024392265,20,20,13,0.6527999999999998,0.0006655032462102658,6.419427972007186e-11,65.50848264012289,0.49804408839920483,58,True,
12,13,1,0.08857142857142858,0.09428571428571429,0.065,0.5164652591657483,0.5021543080369285,16,16,8,0.8103125,5.949430319967288e-05,2.2396628266030966e-11,66.26265062264314,0.4210355381570698,54,True,
12,13,2,0.08857142857142858,0.09428571428571429,0.11000000000000001,0.3666187030564758,0.5224590233453398,15,15,2,0.8412,0.0005485864386851233,4.013954269178526e-11,63.998386632107106,0.43703892947048456,55,True,
12,13,3,0.08857142857142858,0.09428571428571429,0.155,0.4351177602274112,0.5279032149288191,14,14,9,0.7427142857142858,0.0010310471004106384,6.603154099616175e-11,65.73023875562647,0.3824770452936854,54,True,
12,13,4,0.08857142857142858,0.09428571428571429,0.2,0.43255426344341513,0.5388349874138685,20,20,12,0.66225,0.0003805401527558228,1.894824176660856e-11,67.10503119800917,0.4849262665459911,57,True,
12,14,0,0.08857142857142858,0.1,0.02,0.5447558980968836,0.5337049925306492,19,19,14,0.6596842105263159,0.0007716412034775554,1.200609516636737e-10,63.34814118623934,0.48294210389549425,58,True,
12,14,1,0.08857142857142858,0.1,0.065,0.4208943037326321,0.49713904650907553,20,20,12,0.65705,0.0008285131047544764,5.892572395627907e-11,64.32740527363701,0.526238822185842,59,True,
12,14,2,0.08857142857142858,0.1,0.11000000000000001,0.43169100795615295,0.5676873168541836,19,19,13,0.6620526315789473,0.0011896596618279714,8.564746610595776e-11,63.58264739070331,0.43792040890243333,55,True,
12,14,3,0.08857142857142858,0.1,0.155,0.42709452542347254,0.5347399911249232,20,20,14,0.63785,0.000876589180844785,4.3088869520310573e-11,65.23292171624925,0.46126622942700246,55,True,
12,14,4,0.08857142857142858,0.1,0.2,0.467341618480718,0.5311740082756639,15,15,11,0.7180666666666666,0.0011228658566670077,1.2182252361938281e-11,65.0122973694186,0.335585667041962,50,True,
13,0,0,0.09428571428571429,0.02,0.02,0.01637790974321554,0.544186731429406,18,18,0,0.7167777777777777,0.00039469286504339963,1.317137017296656e-11,64.84876223950995,0.4282800604289402,54,True,
13,0,1,0.09428571428571429,0.02,0.065,0.0,0.48273778032947445,18,18,2,0.7101111111111111,0.0010133803250436005,7.497770941828322e-11,66.21997736363652,0.4688784983497184,57,True,
13,0,2,0.09428571428571429,0.02,0.11000000000000001,0.0,0.5450987611575331,22,22,2,0.6000454545454544,0.0009849630902956418,7.068995960754099e-11,64.69603435890025,0.4655325040506288,57,True,
13,0,3,0.09428571428571429,0.02,0.155,0.04369410216716777,0.5266293853867616,18,18,5,0.6842222222222222,0.0029057674807044034,2.3348627913984498e-11,65.18814504012111,0.49398325657073555,57,True,
13,0,4,0.09428571428571429,0.02,0.2,0.0,0.5152827818395094,19,19,4,0.642263157894737,0.0008632834648907527,8.792656582589391e-11,65.32625802269186,0.4934587937493381,60,True,
13,1,0,0.09428571428571429,0.025714285714285714,0.02,0.0,0.5470715367910525,17,17,4,0.5961764705882353,0.0008386278982249338,6.527015288499182e-11,64.23181562567807,0.36052004224559137,51,True,
