mue,mui,b,tauA,g_LK,g_h,c_th2ctx,c_ctx2th,score,feasible,n_passed,T9_new,T10a_new,T10b_new,T11_new,T9_mi,T10a_phase_argmax_deg,T10b_concentration,T11_up_down_ratio,pac_bimodal,shape_r,T4_q,T12_n_verified,eval
3.953978652838958,3.0819282184497188,34.539153765415705,1752.3534294618657,0.056296316449384,0.06681317298777377,0.00947595568248646,0.13942491195954557,0.598547,1,12,1,1,1,1,0.013291164450639825,10.000000000000002,0.18229649662087677,1.828691360678787,0,0.5205107895331116,3.746,10,41
4.042362308969883,3.062362221847328,34.93376592483319,1783.3022062886903,0.05589576698176129,0.06717385159118872,0.010327463414998989,0.13582235372186302,0.522671,1,12,1,1,1,1,0.014873819421380406,10.000000000000002,0.11701158029035161,1.5283652754068702,0,0.508757695833883,3.426,7,42
3.98463137238502,3.076808468394373,35.00034290663843,1753.9302906281691,0.05392889559338103,0.06803841509729186,0.010804911150567354,0.13129129341926843,-0.833333,0,11,1,1,0,1,0.011964544502041404,10.000000000000002,0.0691623413333432,1.200215333402577,1,0.0,3.76,18,43
3.985490744496615,3.1020331596432973,35.08249055761883,1783.4767633615236,0.054220224684933566,0.0683581813570123,0.009851183227398252,0.13425548645294233,-1.666667,0,10,1,0,0,0,0.00834142184775651,-170.0,0.03768019399713583,1.08455820273074,1,0.0,3.866,15,44
3.9721973014198118,3.121656337786851,35.48518142086396,1784.060113908343,0.05340401212766093,0.0670231863189225,0.011763884214029966,0.13407275332875335,-1.666667,0,10,1,1,0,1,0.00817943012151428,10.000000000000002,0.05494203131711083,1.2032639018422449,1,0.0,3.679,17,45
3.985691840561997,3.0519550442646284,35.30174115732351,1785.2335485285205,0.05305663865294122,0.06779225031636266,0.01083645846529762,0.13335779307766432,0.697486,1,12,1,1,1,1,0.008463070335099555,10.000000000000002,0.1012191667979624,1.40137698169247,1,0.5793464982761155,3.525,15,46
3.9676428486125057,3.0817606610354398,34.966787053150234,1780.0681574080938,0.055638561310348854,0.06527808995618505,0.010335890996431417,0.13377954819591942,-0.833333,0,11,1,1,0,1,0.006879127740022824,10.000000000000002,0.048621558121190345,1.2951939481311638,1,0.0,3.444,8,47
3.9813882687637223,3.0768855023340964,34.53943964233707,1783.070166418312,0.05589441955151988,0.06651744639940324,0.01143656927463929,0.13206242020463524,-2.5,0,9,0,1,0,1,0.004367536535487894,10.000000000000002,0.07933449566165551,1.3201207401282316,0,0.0,3.698,11,48
3.9730377392627148,3.0645174722086486,34.94336307561192,1799.703870805485,0.054749724579343406,0.07043685401179453,0.011750153149918794,0.13467230067161365,-2.5,0,9,1,0,1,0,0.008930624537035617,-170.0,0.1117150734619321,1.0487767557968983,1,0.0,3.74,17,49
4.015226639101276,3.0916132087090586,35.27349727077135,1772.3825855441103,0.05423361515321491,0.06752117149734227,0.011562325195535954,0.12917317364466255,-0.833333,0,11,1,1,1,1,0.008450095673526866,10.000000000000002,0.12358813648074304,1.552393444699622,0,0.0,3.673,20,50
3.9927544167270357,3.080177610453645,35.370982803105704,1790.3063778361657,0.0559877154950025,0.06923500971466898,0.00900070100528786,0.1329517651753992,-1.666667,0,10,1,0,1,0,0.00891927011636675,-130.0,0.12202582834651503,1.1788076468814028,1,0.0,3.785,15,51
3.947081081133794,3.0742272164629973,35.46753750361158,1788.3669862730776,0.053468138908776955,0.06714161924557412,0.01060552335381736,0.12904310145535725,-2.5,0,9,1,1,0,0,0.006032650886779081,10.000000000000002,0.06746939096087827,1.1809382134662243,1,0.0,3.447,21,52
3.958786340941977,3.0893069309823673,35.366457246815294,1787.8746340137009,0.051875779828757594,0.0687233201601389,0.010644774834173679,0.13458663293352024,-2.5,0,9,0,1,0,1,0.004758959726447458,-10.000000000000002,0.04494860980654091,1.310312847214309,1,0.0,3.123,21,53
4.012241709484924,3.0461676813767258,34.87047525580672,1787.5690966966363,0.052585474937901756,0.07012921894296681,0.010941097873641756,0.13605779151512065,-3.333333,0,8,0,0,0,0,0.001766246122918197,149.99999999999997,0.04328362402350911,1.0905339724207457,0,0.0,3.823,24,54
