track,estimator,parameter,rank_mean,rank_variance,bias_mean,mean_abs_error,median_norm_sd,median_interval_width,corr_width_abs_error,calibration_slope,calibration_intercept,rank_mean_q1,rank_mean_q2,rank_mean_q3,rank_mean_q4,mean_boundary_proximity,fraction_true_near_boundary_0p05
7d,member_1,c_th2ctx,0.48883343219280717,0.10083306944284813,-0.046420857488556067,0.15458617180775036,0.6112278999101314,0.6916694813966751,0.31588028631340276,0.6013412635443536,0.15290851064064617,0.2530750499500499,0.395608297952048,0.5367952360139859,0.7698551448551448,0.24999999975261744,0.1005859375
7d,member_2,mue,0.5085061422952049,0.0994768039829461,-0.0005719011478504399,0.1452203418211866,0.5637549414473588,0.6379487717151642,0.45506962727892397,0.6121164145543168,0.19336989139930805,0.27262190934065933,0.4377068244255744,0.5392420079920079,0.7844538274225775,0.2500000000127329,0.099609375
7d,member_2,mui,0.3320810049325674,0.04764026836713074,0.003566714175121888,0.005257984230865986,0.0204114890083666,0.02309777420014143,0.5383187890890319,0.9985325254021802,0.004300451481652529,0.3259670017482517,0.33553165584415584,0.33349463036963034,0.33333073176823175,0.25000000519321475,0.1005859375
7d,member_2,b,0.4982361388611389,0.09040083203090285,0.0006055379108147463,0.08050832553090004,0.2913149458416313,0.3296538943052292,0.5277081015192977,0.8559465015162614,0.07263228711154507,0.35668238011988007,0.4760747065434565,0.4940918456543457,0.6660956231268731,0.2499999999472493,0.099609375
7d,member_2,tauA,0.5156084150224776,0.0993728540871275,-0.004946984288835665,0.18556610059386003,0.7281877783848718,0.8240220433473586,0.4290589403197441,0.388584532433108,0.3007607490986813,0.20938826798201798,0.4191160402097902,0.5896915584415584,0.8442377934565435,0.250000000167347,0.099609375
7d,member_2,g_LK,0.49595326548451546,0.09019219926984265,0.011432926738052629,0.14875684028083924,0.5548618417435585,0.6278852820396423,0.6181799297988853,0.539380386860676,0.24174273303457133,0.23972511863136864,0.4580536650849151,0.5116055819180819,0.7744286963036963,0.2500000001055014,0.099609375
7d,member_2,g_h,0.5089763751873126,0.08770332361647515,0.012546796338938293,0.13436095742690668,0.5696264891831078,0.6445930534601212,0.4143381360324015,0.609222651086064,0.20793547062886328,0.24315137987012989,0.48778174950049946,0.5422702297702298,0.7627021416083917,0.2500000001546141,0.1005859375
7d,member_2,c_th2ctx,0.5004312094155844,0.09270805444292651,-0.0476326935859106,0.1459003175732505,0.6222401716462264,0.7041310399770737,0.3691234837461017,0.6049988124237399,0.149867900104503,0.26954295704295705,0.3936649288211788,0.5446311500999002,0.7938858016983017,0.24999999975261744,0.1005859375
7d,member_3,mue,0.5254208681943057,0.10504889300663668,-0.017078186387152527,0.14702428553391655,0.5322902644716841,0.6023431378602981,0.4489194185027142,0.5922034843194297,0.18682007126843017,0.263166520979021,0.441328203046953,0.5860818868631368,0.8111068618881119,0.2500000000127329,0.099609375
7d,member_3,mui,0.3301200752372627,0.04780022707305685,0.004323495244989317,0.0062763339988123334,0.028746576167375665,0.03252981323748827,0.515906290638209,0.9980010826388256,0.005322953935956381,0.33159808941058944,0.32795329670329665,0.3399569180819181,0.3209719967532467,0.25000000519321475,0.1005859375
7d,member_3,b,0.5321553446553446,0.08913884529178326,-0.011408331505663227,0.09283473841060186,0.36271532272192203,0.41045102685689927,0.5072223819509954,0.8005361866328464,0.0883235751209507,0.35267466908091905,0.4922265234765235,0.5548474962537463,0.7288726898101898,0.2499999999472493,0.099609375
