track,estimator,feature,posterior_scaled_abs_error,prior_scaled_abs_error,improvement_fraction,posterior_better
8d,member_4,r_inh_mean_hz,0.0761249613570093,0.507075139530506,0.8498743964701317,True
8d,member_4,r_inh_std_hz,0.0967266889104401,0.5163369064393546,0.8126674895709765,True
8d,member_4,r_inh_relative_so_power,0.5168341118746724,0.7759321507413934,0.3339184213711934,True
8d,member_4,r_inh_relative_sigma_power,0.5389603540089603,1.8358007235477087,0.7064167438787079,True
8d,member_4,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_4,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
8d,member_4,r_inh_spectral_entropy_0p5_20,0.169025974930836,0.8552273200866184,0.8023613477248167,True
8d,member_5,r_exc_mean_hz,0.0532586019711472,0.4840955016451484,0.8899832743949213,True
8d,member_5,r_exc_std_hz,0.1114676702941574,0.5070538871095158,0.7801660274619251,True
8d,member_5,r_exc_relative_so_power,0.3930956388601487,0.6370372215404273,0.38293144329997,True
8d,member_5,r_exc_relative_sigma_power,0.6398198202030642,1.20090363331021,0.4672180161205408,True
8d,member_5,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_5,r_exc_sigma_peak_frequency_hz,1.5,2.0,0.25,True
8d,member_5,r_exc_spectral_entropy_0p5_20,0.1501827419974999,0.699942910687691,0.7854357266795573,True
8d,member_5,r_inh_mean_hz,0.0732318961983169,0.507075139530506,0.855579793822822,True
8d,member_5,r_inh_std_hz,0.0971296621267698,0.5163369064393546,0.811887043293935,True
8d,member_5,r_inh_relative_so_power,0.4141590062560708,0.7759321507413934,0.4662432715794196,True
8d,member_5,r_inh_relative_sigma_power,0.5181088166230178,1.8358007235477087,0.7177750231943663,True
8d,member_5,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
8d,member_5,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
8d,member_5,r_inh_spectral_entropy_0p5_20,0.1516460021218373,0.8552273200866184,0.8226833982496274,True
7d,member_1,r_exc_mean_hz,0.0477937994108817,0.4804497691422407,0.9005227965949296,True
7d,member_1,r_exc_std_hz,0.0997930268386723,0.5084701442481019,0.803738669875611,True
7d,member_1,r_exc_relative_so_power,0.6399085379205307,0.6531174875358698,0.0202244617047,True
7d,member_1,r_exc_relative_sigma_power,0.5422506456322161,1.1902638376820651,0.5444281944344358,True
7d,member_1,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_1,r_exc_sigma_peak_frequency_hz,1.6666666666666667,2.6666666666666665,0.3749999999999999,True
7d,member_1,r_exc_spectral_entropy_0p5_20,0.1645863350501417,0.690941616065677,0.761794149862733,True
7d,member_1,r_inh_mean_hz,0.0693873748992057,0.5166498679191349,0.8656974883615647,True
7d,member_1,r_inh_std_hz,0.0961378237151326,0.5333412823650847,0.819744267143896,True
7d,member_1,r_inh_relative_so_power,0.676230227076702,0.7485746533494781,0.0966429012110854,True
7d,member_1,r_inh_relative_sigma_power,0.4968720445579657,1.8409243828711035,0.7300964400378875,True
7d,member_1,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_1,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
7d,member_1,r_inh_spectral_entropy_0p5_20,0.1823794644693317,0.8515489770434956,0.785826218589872,True
7d,member_2,r_exc_mean_hz,0.0388923201072647,0.4804497691422407,0.9190501846286652,True
7d,member_2,r_exc_std_hz,0.0878712007039879,0.5084701442481019,0.8271851323071738,True
7d,member_2,r_exc_relative_so_power,0.4152859395876341,0.6531174875358698,0.3641481854138437,True
7d,member_2,r_exc_relative_sigma_power,0.5943932499545066,1.1902638376820651,0.5006205925637164,True
7d,member_2,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_2,r_exc_sigma_peak_frequency_hz,2.0,2.6666666666666665,0.25,True
