track,case_id,parameter,f_between,trace_between_fraction,pairwise_mahal_mean,n_posterior_samples_per_member
8d,783,g_LK,0.010580342812481831,0.007938380658016128,0.4808081277951791,512
8d,783,g_h,0.008642989478825948,0.007938380658016128,0.4808081277951791,512
8d,783,c_th2ctx,0.005717940635190089,0.007938380658016128,0.4808081277951791,512
8d,783,c_ctx2th,0.003132382052251828,0.007938380658016128,0.4808081277951791,512
8d,805,mue,0.0010764423487931761,0.002248850828041004,0.37885538713818556,512
8d,805,mui,0.03503944336294589,0.002248850828041004,0.37885538713818556,512
8d,805,b,0.008465356258050158,0.002248850828041004,0.37885538713818556,512
8d,805,tauA,0.002769100692291786,0.002248850828041004,0.37885538713818556,512
8d,805,g_LK,0.0030596450711719014,0.002248850828041004,0.37885538713818556,512
8d,805,g_h,0.0018614352035320112,0.002248850828041004,0.37885538713818556,512
8d,805,c_th2ctx,0.0015425387346703517,0.002248850828041004,0.37885538713818556,512
8d,805,c_ctx2th,0.0012936475543770397,0.002248850828041004,0.37885538713818556,512
8d,827,mue,0.008265473227542631,0.008321414315417624,0.4936069277167531,512
8d,827,mui,0.010574840679296265,0.008321414315417624,0.4936069277167531,512
8d,827,b,0.019890898650904997,0.008321414315417624,0.4936069277167531,512
8d,827,tauA,0.0032405672271181257,0.008321414315417624,0.4936069277167531,512
8d,827,g_LK,0.004182946131761534,0.008321414315417624,0.4936069277167531,512
8d,827,g_h,0.018785143133302023,0.008321414315417624,0.4936069277167531,512
8d,827,c_th2ctx,0.01702052141875418,0.008321414315417624,0.4936069277167531,512
8d,827,c_ctx2th,0.0015344836426998288,0.008321414315417624,0.4936069277167531,512
8d,848,mue,0.009754517478369034,0.01455596188119604,0.6856915235077464,512
8d,848,mui,0.017238864147068305,0.01455596188119604,0.6856915235077464,512
8d,848,b,0.051639043422786926,0.01455596188119604,0.6856915235077464,512
8d,848,tauA,0.005678829520618981,0.01455596188119604,0.6856915235077464,512
8d,848,g_LK,0.004173048788146293,0.01455596188119604,0.6856915235077464,512
8d,848,g_h,0.04103284149579265,0.01455596188119604,0.6856915235077464,512
8d,848,c_th2ctx,0.027141159707144067,0.01455596188119604,0.6856915235077464,512
8d,848,c_ctx2th,0.0017233985481202195,0.01455596188119604,0.6856915235077464,512
8d,870,mue,0.0017555490980705147,0.003454164495950698,0.31218627906758045,512
8d,870,mui,0.009473718827274775,0.003454164495950698,0.31218627906758045,512
8d,870,b,0.005550534995719057,0.003454164495950698,0.31218627906758045,512
8d,870,tauA,0.0013919602036727566,0.003454164495950698,0.31218627906758045,512
8d,870,g_LK,0.007189494595250742,0.003454164495950698,0.31218627906758045,512
8d,870,g_h,0.0037574586173265696,0.003454164495950698,0.31218627906758045,512
8d,870,c_th2ctx,0.005849559582311239,0.003454164495950698,0.31218627906758045,512
8d,870,c_ctx2th,0.0006495578230605516,0.003454164495950698,0.31218627906758045,512
8d,892,mue,0.009216396541694339,0.01564249514035254,0.7000214342232498,512
8d,892,mui,0.0464868584362803,0.01564249514035254,0.7000214342232498,512
8d,892,b,0.043556881665255204,0.01564249514035254,0.7000214342232498,512
8d,892,tauA,0.011942649129910403,0.01564249514035254,0.7000214342232498,512
8d,892,g_LK,0.017448365023907637,0.01564249514035254,0.7000214342232498,512
8d,892,g_h,0.030840297271162952,0.01564249514035254,0.7000214342232498,512
8d,892,c_th2ctx,0.014622728535163382,0.01564249514035254,0.7000214342232498,512
8d,892,c_ctx2th,0.0045676928391776015,0.01564249514035254,0.7000214342232498,512
8d,914,mue,0.013432027395384058,0.009787387297460048,0.5731919738914395,512
8d,914,mui,0.01880271882280458,0.009787387297460048,0.5731919738914395,512
8d,914,b,0.0686333416974421,0.009787387297460048,0.5731919738914395,512
8d,914,tauA,0.015301308178798522,0.009787387297460048,0.5731919738914395,512
8d,914,g_LK,0.006051081473569614,0.009787387297460048,0.5731919738914395,512
8d,914,g_h,0.0067039725766381555,0.009787387297460048,0.5731919738914395,512
8d,914,c_th2ctx,0.006575766169769518,0.009787387297460048,0.5731919738914395,512
8d,914,c_ctx2th,0.004512808631764435,0.009787387297460048,0.5731919738914395,512
8d,935,mue,0.0028266174831262604,0.005675154947562513,0.5059892819771784,512
8d,935,mui,0.037649904672491456,0.005675154947562513,0.5059892819771784,512
8d,935,b,0.030921188160921292,0.005675154947562513,0.5059892819771784,512
8d,935,tauA,0.006087124226607512,0.005675154947562513,0.5059892819771784,512
8d,935,g_LK,0.0057472648062885,0.005675154947562513,0.5059892819771784,512
8d,935,g_h,0.005961346758109745,0.005675154947562513,0.5059892819771784,512
8d,935,c_th2ctx,0.0018961007285767256,0.005675154947562513,0.5059892819771784,512
8d,935,c_ctx2th,0.0020421039662282033,0.005675154947562513,0.5059892819771784,512
8d,957,mue,0.01724406269393144,0.00829940372572954,0.5577922783224644,512
